Date,Open,High,Low,Close
12/31/2022,"16,576","16,634","16,541","16,549"
12/31/2021,"47,239","48,564","45,715","46,322"
12/31/2020,"28,898","29,298","27,989","28,966"
12/31/2019,"7,254","7,309","7,132","7,171"
12/31/2018,"3,859","3,888","3,697","3,721"
12/31/2017,"12,995","14,213","12,497","14,003"
12/30/2022,"16,599","16,644","16,340","16,576"
12/30/2021,"47,233","47,893","46,019","47,239"
12/30/2020,"26,870","28,980","26,870","28,896"
12/30/2019,"7,402","7,430","7,217","7,254"
12/30/2018,"3,963","3,971","3,744","3,859"
12/30/2017,"14,292","14,660","12,183","12,996"
12/29/2022,"16,517","16,656","16,478","16,599"
12/29/2021,"47,586","48,152","46,664","47,210"
12/29/2020,"26,606","27,164","25,926","26,870"
12/29/2019,"7,334","7,529","7,295","7,402"
12/29/2018,"3,938","3,981","3,864","3,963"
12/29/2017,"13,931","15,076","13,900","14,312"
12/28/2022,"16,698","16,759","16,478","16,517"
12/28/2021,"50,990","51,228","47,330","47,586"
12/28/2020,"26,303","27,404","26,136","26,634"
12/28/2019,"7,235","7,359","7,235","7,334"
12/28/2018,"3,626","3,994","3,610","3,939"
12/28/2017,"15,136","15,470","13,499","13,931"
12/27/2022,"16,821","16,957","16,603","16,698"
12/27/2021,"50,802","51,976","50,487","50,996"
12/27/2020,"26,666","28,326","25,824","26,303"
12/27/2019,"7,208","7,267","7,087","7,235"
12/27/2018,"3,812","3,877","3,613","3,631"
12/27/2017,"15,892","16,476","14,533","15,136"
12/26/2022,"16,823","16,910","16,794","16,821"
12/26/2021,"51,003","51,003","49,568","50,802"
12/26/2020,"24,409","26,753","24,379","26,648"
12/26/2019,"7,218","7,437","7,179","7,208"
12/26/2018,"3,827","3,899","3,728","3,809"
12/26/2017,"13,802","16,079","13,680","15,886"
12/25/2022,"16,836","16,863","16,744","16,823"
12/25/2021,"50,898","51,144","50,220","51,001"
12/25/2020,"23,399","24,657","23,379","24,409"
12/25/2019,"7,255","7,268","7,130","7,214"
12/25/2018,"4,100","4,111","3,728","3,827"
12/25/2017,"13,174","14,573","13,075","13,798"
12/24/2022,"16,815","16,865","16,765","16,836"
12/24/2021,"50,849","51,836","50,513","50,898"
12/24/2020,"23,295","23,546","22,689","23,384"
12/24/2019,"7,328","7,417","7,168","7,255"
12/24/2018,"3,993","4,284","3,953","4,100"
12/24/2017,"15,414","15,479","12,508","13,182"
12/23/2022,"16,791","16,900","16,769","16,815"
12/23/2021,"49,082","51,364","48,077","50,843"
12/23/2020,"23,434","24,085","22,863","23,299"
12/23/2019,"7,420","7,696","7,302","7,328"
12/23/2018,"3,932","4,103","3,885","3,999"
12/23/2017,"14,112","15,704","13,517","15,413"
12/22/2022,"16,790","16,862","16,569","16,791"
12/22/2021,"49,103","49,557","48,477","49,082"
12/22/2020,"23,138","23,598","22,385","23,434"
12/22/2019,"7,145","7,463","7,138","7,420"
12/22/2018,"3,893","3,979","3,835","3,933"
12/22/2017,"15,629","15,830","10,835","14,265"
12/21/2022,"16,883","16,923","16,729","16,790"
12/21/2021,"47,013","49,318","46,676","49,059"
12/21/2020,"23,406","24,094","22,080","23,146"
12/21/2019,"7,209","7,215","7,128","7,147"
12/21/2018,"4,036","4,190","3,822","3,893"
12/21/2017,"16,273","17,301","15,082","15,629"
12/20/2022,"16,583","17,023","16,300","16,883"
12/20/2021,"46,741","47,524","45,581","47,013"
12/20/2020,"23,988","24,244","23,117","23,494"
12/20/2019,"7,169","7,225","7,094","7,209"
12/20/2018,"3,704","4,210","3,704","4,036"
12/20/2017,"17,043","17,823","15,578","16,273"
12/19/2022,"16,750","16,820","16,499","16,583"
12/19/2021,"46,941","48,285","46,468","46,741"
12/19/2020,"22,898","24,128","22,805","24,004"
12/19/2019,"7,144","7,447","7,065","7,170"
12/19/2018,"3,575","3,960","3,563","3,704"
12/19/2017,"18,703","19,026","16,838","17,061"
12/18/2022,"16,709","16,796","16,671","16,750"
12/18/2021,"46,946","47,335","45,557","46,941"
12/18/2020,"22,775","23,278","22,398","22,911"
12/18/2019,"6,633","7,222","6,459","7,143"
12/18/2018,"3,536","3,608","3,475","3,574"
12/18/2017,"19,067","19,501","18,094","18,712"
12/17/2022,"16,835","16,869","16,534","16,709"
12/17/2021,"48,139","48,163","45,539","46,946"
12/17/2020,"21,200","23,685","21,200","22,767"
12/17/2019,"6,892","6,944","6,602","6,632"
12/17/2018,"3,240","3,613","3,220","3,539"
12/17/2017,"19,283","19,783","18,792","19,067"
12/16/2022,"17,384","17,524","16,754","16,835"
12/16/2021,"49,221","49,398","47,715","48,139"
12/16/2020,"19,431","21,275","19,319","21,240"
12/16/2019,"7,133","7,152","6,856","6,892"
12/16/2018,"3,236","3,298","3,213","3,241"
12/16/2017,"17,576","19,302","17,353","19,283"
12/15/2022,"17,818","17,861","17,340","17,384"
12/15/2021,"48,280","49,495","46,631","49,221"
12/15/2020,"19,199","19,561","19,086","19,431"
12/15/2019,"7,092","7,177","7,027","7,133"
12/15/2018,"3,188","3,266","3,156","3,236"
12/15/2017,"16,490","17,873","16,445","17,524"
12/14/2022,"17,764","18,338","17,698","17,818"
12/14/2021,"46,892","48,639","46,378","48,280"
12/14/2020,"19,182","19,314","18,996","19,201"
12/14/2019,"7,252","7,274","7,022","7,092"
12/14/2018,"3,285","3,324","3,168","3,188"
12/14/2017,"16,717","17,023","16,123","16,496"
12/13/2022,"17,153","17,889","17,094","17,764"
12/13/2021,"49,981","50,380","45,871","46,892"
12/13/2020,"18,800","19,414","18,734","19,182"
12/13/2019,"7,212","7,300","7,195","7,252"
12/13/2018,"3,476","3,477","3,261","3,287"
12/13/2017,"17,262","17,460","15,800","16,717"
11/30/2022,"16,454","17,103","16,429","17,102"
11/30/2021,"58,266","59,146","55,932","57,144"
11/30/2020,"18,267","19,835","18,094","19,376"
11/30/2019,"7,721","7,812","7,486","7,559"
11/30/2018,"4,207","4,311","3,893","3,947"
11/30/2017,"10,173","10,682","9,022","9,715"
11/29/2022,"16,193","16,528","16,094","16,454"
11/29/2021,"56,281","58,878","56,104","58,266"
11/29/2020,"17,765","18,330","17,556","18,267"
11/29/2019,"7,578","7,854","7,393","7,725"
11/29/2018,"4,252","4,414","4,116","4,207"
11/29/2017,"9,946","11,377","9,290","10,173"
11/28/2022,"16,570","16,586","16,018","16,193"
11/28/2021,"54,601","56,402","53,578","56,281"
11/28/2020,"17,037","17,891","16,895","17,764"
11/28/2019,"7,558","7,661","7,436","7,578"
11/28/2018,"3,797","4,370","3,777","4,252"
11/28/2017,"9,650","9,969","9,602","9,946"
11/27/2022,"16,507","16,587","16,390","16,570"
11/27/2021,"54,101","55,339","53,605","54,601"
11/27/2020,"17,122","17,463","16,508","17,037"
11/27/2019,"7,124","7,661","6,872","7,559"
11/27/2018,"3,694","3,820","3,606","3,802"
11/27/2017,"9,356","9,733","9,283","9,650"
11/26/2022,"16,503","16,678","16,425","16,507"
11/26/2021,"58,834","59,342","53,577","54,101"
11/26/2020,"18,859","18,924","16,311","17,122"
11/26/2019,"7,236","7,348","7,054","7,129"
11/26/2018,"4,080","4,122","3,567","3,678"
11/26/2017,"8,703","9,485","8,679","9,351"
11/25/2022,"16,537","16,606","16,352","16,503"
11/25/2021,"57,334","59,399","56,918","58,834"
11/25/2020,"18,938","19,495","18,649","18,846"
11/25/2019,"7,066","7,372","6,559","7,236"
11/25/2018,"3,832","4,130","3,522","4,088"
11/25/2017,"8,257","8,725","8,157","8,703"
11/24/2022,"16,482","16,769","16,448","16,537"
11/24/2021,"57,696","57,755","55,928","57,334"
11/24/2020,"18,419","19,414","18,120","18,938"
11/24/2019,"7,295","7,352","6,958","7,066"
11/24/2018,"4,292","4,404","3,795","3,832"
11/24/2017,"8,169","8,333","7,893","8,260"
11/23/2022,"16,137","16,622","16,091","16,482"
11/23/2021,"56,278","57,847","55,537","57,696"
11/23/2020,"18,585","18,759","18,012","18,426"
11/23/2019,"7,345","7,360","7,118","7,295"
11/23/2018,"4,457","4,472","4,135","4,292"
11/23/2017,"8,202","8,280","8,094","8,169"
11/22/2022,"15,602","16,251","15,599","16,137"
11/22/2021,"59,568","59,574","55,706","56,278"
11/22/2020,"18,635","18,733","17,666","18,585"
11/22/2019,"7,617","7,722","6,816","7,345"
11/22/2018,"4,483","4,617","4,396","4,458"
11/22/2017,"8,142","8,294","7,979","8,202"
11/21/2022,"16,251","16,331","15,508","15,602"
11/21/2021,"59,682","60,044","58,630","59,568"
11/21/2020,"18,586","18,964","18,443","18,638"
11/21/2019,"8,102","8,127","7,447","7,617"
11/21/2018,"4,385","4,663","4,249","4,487"
11/21/2017,"8,255","8,362","7,819","8,144"
11/20/2022,"16,665","16,799","16,236","16,251"
11/20/2021,"57,924","59,725","57,570","59,682"
11/20/2020,"17,939","18,809","17,732","18,586"
11/20/2019,"8,124","8,219","8,051","8,099"
11/20/2018,"4,820","4,929","4,127","4,369"
11/20/2017,"8,030","8,264","7,941","8,250"
11/19/2022,"16,640","16,703","16,552","16,665"
11/19/2021,"57,606","58,396","55,688","57,924"
11/19/2020,"17,781","18,163","17,377","17,939"
11/19/2019,"8,231","8,233","8,030","8,124"
11/19/2018,"5,571","5,583","4,733","4,820"
11/19/2017,"7,830","8,102","7,678","8,030"
11/18/2022,"16,681","16,963","16,544","16,640"
11/18/2021,"60,101","60,956","56,777","57,583"
11/18/2020,"17,633","18,467","17,318","17,781"
11/18/2019,"8,565","8,565","8,083","8,231"
11/18/2018,"5,517","5,645","5,505","5,571"
11/18/2017,"7,697","7,849","7,460","7,830"
11/17/2022,"16,538","16,723","16,407","16,681"
11/17/2021,"60,509","61,067","58,567","60,101"
11/17/2020,"16,717","17,837","16,569","17,627"
11/17/2019,"8,494","8,629","8,409","8,566"
11/17/2018,"5,484","5,566","5,455","5,518"
11/17/2017,"7,893","7,998","7,536","7,719"
11/16/2022,"16,880","16,968","16,381","16,538"
11/16/2021,"63,864","64,015","58,870","60,557"
11/16/2020,"15,859","16,885","15,795","16,717"
11/16/2019,"8,461","8,533","8,437","8,494"
11/16/2018,"5,513","5,643","5,477","5,479"
11/16/2017,"7,292","7,895","7,122","7,892"
